sample,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
20,0.076856546,-0.009452183,-0.08990405,0.043072455,0.06479557,-0.0011809375,0.013843489,0.008274199,-0.009690478,0.008637058,-0.050495837,-0.022572884,-0.10499554,-0.0740823,-0.103864856,0.07092154,-0.021210106,0.055597123,-0.021599144,-0.018427966,0.09353434,0.069737226,0.028874077,0.004620984,0.060170647,-0.10412869,-0.010779811,-0.03361839,0.049218874,0.034707367,-0.005031931,-0.02067932,-0.022955857,-0.01280181,0.028643802,-0.019464798,-0.021466479,0.060060047,-0.013021458,-0.011611649,-0.011065179,-0.036878616,-0.060298726,-0.04670133,-0.061943516,-0.06430874,-0.103045374,0.0056912936,-0.047511183,-0.055136506,-0.062205076,0.087229416,-0.05573637,0.023268659,0.01790122,0.05019441,0.015048085,-0.02789898,-0.022825511,-0.05602404,0.04147339,0.007831719,0.014678804,0.004379063
21,0.07543385,-0.015158959,-0.12506437,0.07198334,-0.09037427,-0.0010407697,-0.042164754,0.10317422,-0.027288832,0.0076174205,-0.11374029,-0.021488477,-0.19782385,-0.032516956,-0.059221644,-0.0816684,-0.075821206,0.12013816,-0.001730721,0.0005314201,0.06699732,0.04866908,-0.024460996,-0.046921514,0.021180693,-0.11338014,-0.11901006,-0.0167198,0.18286112,0.11480355,-0.03178323,-0.07265344,-0.106979415,-0.019872151,0.057210106,0.048484653,0.12160767,0.01876387,0.124815084,-0.04184832,-0.024833256,0.077866785,-0.09533526,-0.11853088,0.0635055,-0.08838469,0.0066873953,0.045192942,0.014654281,0.104652785,-0.08589567,-0.03669496,0.058702152,-0.055670973,-0.02926166,0.069255,-0.01780058,0.06253904,-0.063626274,-0.014800636,0.13687235,0.06437468,0.07870966,-0.02316203
22,-0.1091823,-0.009921219,-0.113928,0.07204877,0.028848756,-0.00488629,-0.021734659,0.07332043,-0.018171662,0.029834628,0.03502025,-0.111497186,-0.1042499,-0.06836721,-0.14978582,-0.094240755,-0.048923478,0.1456508,-0.006863307,0.022629624,-0.023471266,0.09114982,0.003750965,-0.10691682,0.06278859,-0.14773063,-0.10888858,-0.06409618,0.048026986,0.047915667,-0.073323995,-0.051783398,-0.07899508,0.0007276796,0.030338,0.09304301,0.021735286,0.064981766,0.009123962,-0.047840532,0.022806052,0.043507397,-0.10501432,-0.07192908,0.014496401,-0.09705835,-0.1090371,0.08647859,-0.03837986,0.054977376,-0.049355898,0.06320883,0.11973093,-0.025954857,0.031744555,0.047434296,0.076673105,0.073497154,-0.021240395,0.031350054,0.029945798,0.08688924,0.018211778,0.07017724
23,-0.017608916,-0.03482151,-0.052690793,0.014574902,-0.015931327,-0.00033244188,-0.030778402,0.09296165,0.011384724,-0.01637785,-0.06141595,0.013052246,-0.017231554,0.0053404933,0.025428295,-0.0014902037,-0.075567335,0.020354334,-0.029383961,-0.044810377,0.005196623,0.05060548,-0.025523186,-0.07320653,-0.005622847,-0.026332196,-0.029509686,-0.0029722764,0.0620264,-0.00038846582,-0.012595589,-0.05282718,-0.065571874,0.033022616,0.038392942,0.030155752,-0.030421332,-0.004205215,-0.04192279,-0.06356659,0.003327337,0.03324149,0.010067787,-0.055423066,0.08327986,-0.035037972,-0.045772243,0.03110984,-0.021825911,-0.004404547,-0.0763779,0.018547373,-0.05411813,0.027159331,-0.02340167,0.009431835,0.021752493,-0.03030148,-0.027902622,-0.0172001,0.020828098,-0.0069663622,0.032930918,-0.0011584507
24,-0.09061804,0.02505349,-0.06518459,-0.036775324,0.010508879,0.007824149,-0.05944951,0.035246626,-0.054491803,-0.029250562,-0.032643512,-0.028559774,-0.0689532,0.04932816,-0.062462755,-0.07064207,-0.012326632,0.039606836,-0.0031198673,-0.06333651,0.034915306,0.13864052,-0.10048747,-0.039472427,0.01993754,-0.17464983,-0.0137235075,0.014493018,0.015950188,-0.020966694,0.007251518,-0.06257201,-0.051127262,-0.0037733642,0.0063344976,0.09674977,-0.02312304,0.046384994,0.07901108,-0.07526001,-0.04535824,0.03824711,-0.040549792,0.018161342,-0.029392632,-0.10318724,-0.09070931,-0.027457755,-0.111482985,0.05857203,-0.11506411,0.0033301082,0.03841187,-0.025960796,0.055972625,-0.039052635,-0.0008441536,-0.005232958,-0.10797094,-0.014173629,0.011193885,0.027699888,-0.027120573,-0.0051647453
25,0.0075389016,-0.006453134,-0.088384435,-0.028166054,-0.02367848,0.01352914,0.021639396,0.024710502,0.0013620425,-0.079691626,-0.07864846,-0.012179503,-0.086114064,-0.010800064,-0.0682866,-0.043942988,3.056205e-05,0.08479523,-0.04737636,-0.045022186,0.037065413,0.054108154,-0.033011973,-0.015013203,0.0507377,-0.11131835,-0.06275715,-0.0031708824,0.06446198,0.013133774,0.034158133,0.011807242,0.03130915,0.032557104,0.0040029716,0.023373567,0.021487858,0.024845388,0.03930487,-0.01544615,0.02865434,0.056434687,-0.10226065,-0.04450115,-0.031933025,-0.07325406,0.020083796,-0.034576155,-0.10644482,-0.017983139,-0.044232488,0.06919421,0.048275623,-0.04612589,0.052641902,0.0046196035,0.028233426,-0.033370353,-0.046225615,-0.027736366,0.03997647,0.046092685,-0.011294257,-0.03405424
26,-0.066699415,0.011750542,-0.06354073,0.03696416,-0.077434435,0.042227566,-0.07785545,-0.024869688,-0.0046144985,-0.029156717,-0.10076004,0.004197651,-0.088639714,0.018271869,-0.08462632,-0.11487334,0.0045655896,0.047206506,0.019667301,-0.051904827,-0.06923007,-0.04841575,-0.041922156,-0.052491378,0.063537575,-0.0765898,-0.06176271,-0.015990991,0.056085717,-0.03988806,0.07902476,0.054251645,-0.0020475686,-0.042232256,0.07038702,0.021643788,0.052658275,0.054599248,-0.048819873,-0.08585817,-0.06513041,0.044173375,-0.07143277,-0.0032374961,-0.0010062652,-0.020091482,-0.055195484,-0.06589319,-0.041380372,0.0010854136,-0.017885081,0.044293985,0.055523984,0.045652352,0.18413368,-0.009794097,0.0073309634,-0.024559747,-0.07677588,-0.010290906,0.000520763,0.109244145,-0.037160516,-0.09534404
27,0.030337611,-0.07712922,-0.044080175,0.061488524,0.10456746,0.0203503,-0.02019708,0.057035796,0.0032005068,-0.06075577,-0.08907767,-0.032021508,-0.032336287,-0.014924121,-0.088224486,0.023533829,-0.064670324,0.046886034,-0.0115281325,-0.03450848,-0.054199036,0.02674802,0.01569628,-0.058011647,0.10184945,-0.072840974,-0.10152146,0.063538454,0.06954515,0.010431525,0.059082337,0.009145329,-0.01986562,0.0012207245,0.052170936,0.03867819,-0.015334386,0.043916803,-0.03570386,0.0014647385,0.13061745,0.0041203415,-0.08862765,-0.09681795,-0.056068167,-0.019308932,-0.029982114,-0.013252321,-0.025782187,-0.021942407,0.021975238,0.10315282,0.054526925,-0.07792166,0.018722963,-0.060868446,-0.061670348,0.026383512,0.03483781,0.038885176,-0.0041488693,0.049549915,0.023353916,-0.048271038
28,-0.0430597,-0.033292517,-0.022169366,0.023981443,0.0050705057,-0.002391547,0.020753738,0.04447672,0.0569437,0.010457795,-0.089296,0.04555765,-0.05452222,0.028639348,-0.08479646,-0.082470864,0.0040229834,0.072012596,-0.01873374,-0.10960754,-0.01712964,0.06103809,-0.060963005,-0.06956128,0.026453227,-0.112716675,-0.057381973,0.023972593,-0.021204606,-0.017951302,0.027018456,0.054279827,0.021995768,0.027582053,0.0013530529,0.044668846,-0.0055361763,0.032031782,-0.007400316,-0.013821883,0.024364008,0.054211244,-0.08337392,0.037181422,-0.06467607,-0.067250416,-0.018869784,-0.041708633,-0.136311,0.00673695,-0.07638272,0.07426387,0.023250911,-0.026284013,0.12335017,-0.0107802395,0.008776392,-0.013357835,0.019427532,0.0070541054,0.0012446297,0.061850395,0.034763787,-0.02861097
29,-0.025172658,-0.01401413,-0.07004814,0.0548827,-0.027531696,-0.038097933,0.0002411548,0.09678058,0.08366652,-0.0509127,-0.023258675,0.026866926,-0.04907022,0.05682703,-0.07374316,-0.108150855,-0.06380668,0.027014114,-0.0013469402,-0.049661502,-0.015683696,0.010857582,-0.060972214,-0.07847179,0.07103164,-0.07325405,-0.063316084,0.032190803,-0.020080848,-0.028191105,0.0067179874,-0.003962688,-0.058361083,0.034975566,0.07872969,0.045050785,0.05173914,0.0072357636,-0.018225476,-3.095623e-05,0.05448381,0.008714889,-0.052243687,-0.023141675,0.021458238,-0.06002529,-0.0987651,0.0017208066,-0.080846466,-0.028982257,-0.08700098,0.003765113,0.011381195,-0.052513827,0.07838045,-0.057356678,-0.055593017,-0.00044989213,-0.07828301,-0.043895144,0.046324246,0.009997223,0.06423428,0.005390862
